service_id,date,exception_type
308746,20260112,1
341046,20260112,1
308746,20260113,1
340946,20260113,1
308846,20260114,1
340946,20260114,1
308846,20260115,1
340946,20260115,1
308846,20260116,1
340946,20260116,1
308849,20260118,1
308846,20260119,1
340946,20260119,1
308846,20260120,1
340946,20260120,1
308846,20260121,1
340946,20260121,1
308846,20260122,1
340946,20260122,1
308846,20260123,1
340946,20260123,1
308749,20260125,1
308746,20260126,1
341046,20260126,1
308746,20260127,1
340946,20260127,1
308846,20260128,1
340946,20260128,1
308846,20260129,1
340946,20260129,1
308846,20260130,1
340946,20260130,1
308749,20260201,1
308746,20260202,1
341046,20260202,1
308746,20260203,1
340946,20260203,1
308846,20260204,1
340946,20260204,1
308846,20260205,1
340946,20260205,1
308846,20260206,1
340946,20260206,1
308749,20260208,1
308746,20260209,1
341046,20260209,1
308746,20260210,1
340946,20260210,1
308846,20260211,1
340946,20260211,1
308846,20260212,1
340946,20260212,1
308846,20260213,1
340946,20260213,1
308849,20260215,1
308846,20260216,1
340946,20260216,1
308846,20260217,1
340946,20260217,1
308846,20260218,1
340946,20260218,1
308846,20260219,1
340946,20260219,1
308846,20260220,1
340946,20260220,1
308055,20251116,1
308052,20251117,1
341252,20251117,1
308052,20251118,1
341352,20251118,1
308152,20251119,1
341352,20251119,1
308152,20251120,1
341352,20251120,1
308152,20251121,1
341352,20251121,1
308055,20251123,1
308052,20251124,1
341252,20251124,1
308052,20251125,1
341352,20251125,1
308152,20251126,1
341352,20251126,1
308155,20251127,1
55,20251127,1
52,20251127,2
308152,20251128,1
341352,20251128,1
308055,20251130,1
308052,20251201,1
341252,20251201,1
308052,20251202,1
341352,20251202,1
308152,20251203,1
341352,20251203,1
308152,20251204,1
341352,20251204,1
308152,20251205,1
341352,20251205,1
308055,20251207,1
308052,20251208,1
341252,20251208,1
308052,20251209,1
341352,20251209,1
308152,20251210,1
341352,20251210,1
308152,20251211,1
341352,20251211,1
308152,20251212,1
341352,20251212,1
308055,20251214,1
308052,20251215,1
341252,20251215,1
308052,20251216,1
341352,20251216,1
308152,20251217,1
341352,20251217,1
308152,20251218,1
341352,20251218,1
308152,20251219,1
341352,20251219,1
308055,20251221,1
308052,20251222,1
341252,20251222,1
308052,20251223,1
341352,20251223,1
308152,20251224,1
341352,20251224,1
308155,20251225,1
55,20251225,1
52,20251225,2
308152,20251226,1
341352,20251226,1
308155,20251228,1
308152,20251229,1
341352,20251229,1
308152,20251230,1
341352,20251230,1
308152,20251231,1
341352,20251231,1
308155,20260101,1
55,20260101,1
52,20260101,2
308152,20260102,1
341352,20260102,1
308055,20260104,1
308052,20260105,1
341252,20260105,1
308052,20260106,1
341352,20260106,1
308152,20260107,1
341352,20260107,1
308152,20260108,1
341352,20260108,1
308152,20260109,1
341352,20260109,1
308055,20260111,1
308052,20260112,1
341252,20260112,1
308052,20260113,1
341352,20260113,1
308152,20260114,1
341352,20260114,1
308152,20260115,1
341352,20260115,1
308152,20260116,1
341352,20260116,1
308155,20260118,1
308152,20260119,1
341352,20260119,1
308152,20260120,1
341352,20260120,1
308152,20260121,1
341352,20260121,1
308152,20260122,1
341352,20260122,1
308152,20260123,1
341352,20260123,1
308055,20260125,1
308052,20260126,1
341252,20260126,1
308052,20260127,1
341352,20260127,1
308152,20260128,1
341352,20260128,1
308152,20260129,1
341352,20260129,1
308152,20260130,1
341352,20260130,1
308055,20260201,1
308052,20260202,1
341252,20260202,1
308052,20260203,1
341352,20260203,1
308152,20260204,1
341352,20260204,1
308152,20260205,1
341352,20260205,1
308152,20260206,1
341352,20260206,1
308055,20260208,1
308052,20260209,1
341252,20260209,1
308052,20260210,1
341352,20260210,1
308152,20260211,1
341352,20260211,1
308152,20260212,1
341352,20260212,1
308152,20260213,1
341352,20260213,1
308155,20260215,1
308152,20260216,1
341352,20260216,1
308152,20260217,1
341352,20260217,1
308152,20260218,1
341352,20260218,1
308152,20260219,1
341352,20260219,1
308152,20260220,1
341352,20260220,1
